Celebrity,Instagram Following (Millions),
Adam Lambert,1.6,
Jennifer Lopez,190,
Alex Rodriguez,3.9,
Ariana Grande,287,
Bella Hadid,48.2,
Beyonce,230,
Billie Eilish,98.9,
Blake Lively,31,
Blake Lively,40.9,
Cole Sprouse,35.7,
 Drake,100,
Iman Hammam,1.3,
Doutzen Kroes,7.1,
Gigi Hadid,71.7,
Halsey,27.8,
Harry Styles,42.4,
Ross Lynch,9.9,
Jaz Sinclair ,1.4,
Sophie Turner,14.9,
Joe Jonas ,12.9,
Keke Palmer,10.7,
Lauren Jauregui,9.7,
 Lili Reinhart,29.3,
Machine Gun Kelly,9.2,
Madonna,17.4,
Nina Dobrev,24.8,
Rihanna,116,
Tinashe,3.5,
The Weeknd,35.6,
Trevor Noah,7.2,