City1,Total Population (Census ACS 5 Year 2018)1,All People Killed by Police (1/1/2013-12/31/2020),Avg Annual Police Homicide Rate,Violent Crime Rate1
Albuquerque,559202,42,8.345225279,11.48913988
Arlington,392462,16,4.529808689,5.026510301
Atlanta,479655,24,5.559551483,8.893110673
Austin,935755,35,4.155883633,4.071578565
Baltimore,614700,38,6.868752598,16.43199935
Boston,679413,15,2.453097993,6.760799396
Charlotte,841611,23,3.036504461,7.491287543
Chicago,2718555,89,3.637553365,9.839050525
Colorado Springs,457502,25,6.071618873,5.197518262
Columbus,867628,48,6.147027682,4.788198398
Dallas,1318806,42,3.538554319,7.579299002
Denver,693417,43,6.89019418,7.046625624
Detroit,677155,25,4.102129908,20.00206747
El Paso,680354,19,3.102959799,3.700830744
Fort Worth,855786,29,3.765219602,5.422208356
Fresno,522277,28,5.956821976,5.494210926
Honolulu,987638,27,3.037550196,2.650768804
Houston,2295982,87,4.210253681,10.52741267
Indianapolis,857637,32,4.145758119,10.91633174
Jacksonville,878907,50,6.32098226,6.305938323
Kansas City MO,481417,40,9.232005609,14.94857888
Las Vegas,2141574,78,4.046867709,5.250927589
Long Beach,468883,29,6.872124223,5.694117722
Los Angeles,3959657,150,4.209118786,6.584629679
Louisville,617032,28,5.042057966,7.250029172
Memphis,653248,27,4.592436563,18.96791112
Mesa,491194,30,6.786184956,4.007072562
Miami,451214,14,3.447489563,8.225309942
Milwaukee,596886,22,4.095328831,14.88056346
Minneapolis,416021,10,2.670805347,10.26931333
Nashville,660062,20,3.366687102,11.201978
New Orleans,389648,12,3.421891896,10.75425769
New York,8443713,89,1.171154075,5.780735916
Oakland,421042,12,3.166746627,14.6000874
Oklahoma City,637284,57,9.938007754,7.840499683
Omaha,465112,18,4.30003956,5.703196219
Philadelphia,1575522,44,3.103028005,8.825805035
Phoenix,1610071,133,9.178339202,6.853735022
Portland,639387,22,3.823106263,4.602064165
Raleigh,457159,6,1.458281838,3.496959847
Sacramento,495011,19,4.264776159,6.752880239
San Antonio,1486521,67,5.007964532,6.634955039
San Diego,1401932,37,2.93246114,3.792088347
San Francisco,870044,21,2.681856703,7.16903398
San Jose,1026658,25,2.705650546,3.812369845
Seattle,708823,28,4.389122688,6.183666444
Tucson,539216,40,8.242419447,7.134697148
Tulsa,402223,34,9.392247032,9.989483446
Virginia Beach,450135,9,2.221555755,1.359314428
Washington DC,684498,26,4.220448984,10.66584563
Wichita,389563,17,4.848737916,10.62875948