state,id,Youth mental health ranking
Alabama,1,32
Alaska,2,49
Arizona,4,30
Arkansas,5,31
California,6,33
Colorado,8,34
Connecticut,9,13
Delaware,10,11
District of Columbia,11,1
Florida,12,36
Georgia,13,23
Hawaii,15,25
Idaho,16,46
Illinois,17,27
Indiana,18,19
Iowa,19,12
Kansas,20,37
Kentucky,21,16
Louisiana,22,21
Maine,23,22
Maryland,24,9
Massachusetts,25,5
Michigan,26,20
Minnesota,27,15
Mississippi,28,29
Missouri,29,26
Montana,30,45
Nebraska,31,35
Nevada,32,51
New Hampshire,33,8
New Jersey,34,10
New Mexico,35,42
New York,36,14
North Carolina,37,44
North Dakota,38,3
Ohio,39,18
Oklahoma,40,40
Oregon,41,47
Pennsylvania,42,2
Rhode Island,44,4
South Carolina,45,48
South Dakota,46,24
Tennessee,47,38
Texas,48,28
Utah,49,41
Vermont,50,7
Virginia,51,17
Washington,53,43
West Virginia,54,39
Wisconsin,55,6
Wyoming,56,50